Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 79, 'a': 63, 's': 55, 'd': 45}",2484,0.3,0.0,False,256
"{'w': 41, 'a': 39, 's': 37, 'd': 42}",1340,0.2,0.0,False,128
"{'w': 26, 'a': 28, 's': 19, 'd': 15}",616,0.12,0.0,False,64
"{'w': 21, 'a': 13, 's': 19, 'd': 24}",468,0.1,0.0,False,64
"{'w': 42, 'a': 37, 's': 38, 'd': 30}",1300,0.21,0.0,False,128
"{'w': 41, 'a': 49, 's': 27, 'd': 30}",1304,0.19,0.0,False,128
"{'w': 25, 'a': 26, 's': 22, 'd': 26}",640,0.12,0.0,False,64
"{'w': 35, 'a': 25, 's': 20, 'd': 22}",664,0.13,0.0,False,64
"{'w': 31, 'a': 22, 's': 19, 'd': 16}",596,0.11,0.0,False,64
"{'w': 49, 'a': 30, 's': 17, 'd': 29}",916,0.17,0.0,False,64
"{'w': 41, 'a': 41, 's': 37, 'd': 35}",1320,0.21,0.0,False,128
"{'w': 28, 'a': 22, 's': 23, 'd': 28}",756,0.15,0.0,False,64
"{'w': 52, 'a': 34, 's': 28, 'd': 42}",1352,0.23,0.0,False,128
"{'w': 41, 'a': 43, 's': 27, 'd': 36}",1192,0.19,0.0,False,128
"{'w': 24, 'a': 38, 's': 28, 'd': 30}",1160,0.16,0.0,False,128
"{'w': 36, 'a': 37, 's': 27, 'd': 30}",1104,0.17,0.0,False,128
"{'w': 43, 'a': 29, 's': 26, 'd': 34}",1052,0.18,0.0,False,128
"{'w': 27, 'a': 18, 's': 22, 'd': 9}",432,0.1,0.0,False,32
"{'w': 56, 'a': 46, 's': 43, 'd': 46}",1960,0.26,0.0,False,256
"{'w': 27, 'a': 16, 's': 24, 'd': 28}",564,0.12,0.0,False,32
"{'w': 26, 'a': 21, 's': 19, 'd': 12}",436,0.13,0.0,False,32
"{'w': 65, 'a': 52, 's': 39, 'd': 40}",2112,0.33,0.0,False,256
