Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 37, 'a': 34, 's': 34, 'd': 25}",1124,1.89,0.02,False,128
"{'w': 45, 'a': 30, 's': 35, 'd': 26}",1164,0.25,0.0,False,128
"{'w': 26, 'a': 21, 's': 20, 'd': 24}",616,0.17,0.0,False,64
"{'w': 70, 'a': 45, 's': 51, 'd': 40}",1752,0.4,0.0,False,128
"{'w': 49, 'a': 31, 's': 43, 'd': 30}",1300,0.25,0.0,False,128
"{'w': 89, 'a': 57, 's': 58, 'd': 54}",2964,0.5,0.0,False,256
"{'w': 20, 'a': 16, 's': 17, 'd': 13}",344,0.13,0.0,False,32
"{'w': 41, 'a': 20, 's': 20, 'd': 27}",736,0.19,0.0,False,64
"{'w': 63, 'a': 53, 's': 41, 'd': 45}",1892,0.36,0.0,False,128
"{'w': 52, 'a': 39, 's': 31, 'd': 32}",1316,0.28,0.0,False,128
"{'w': 22, 'a': 22, 's': 18, 'd': 15}",412,0.16,0.0,False,32
"{'w': 24, 'a': 17, 's': 30, 'd': 24}",660,0.19,0.0,False,64
"{'w': 47, 'a': 29, 's': 43, 'd': 38}",1356,0.28,0.0,False,128
"{'w': 59, 'a': 31, 's': 28, 'd': 40}",1456,0.24,0.0,False,128
"{'w': 37, 'a': 27, 's': 27, 'd': 28}",1012,0.18,0.0,False,128
"{'w': 45, 'a': 36, 's': 26, 'd': 49}",1396,0.23,0.0,False,128
"{'w': 86, 'a': 45, 's': 47, 'd': 44}",2324,0.3,0.0,False,256
"{'w': 27, 'a': 24, 's': 21, 'd': 22}",620,0.14,0.0,False,64
"{'w': 37, 'a': 35, 's': 29, 'd': 41}",1048,0.23,0.0,False,64
"{'w': 45, 'a': 47, 's': 29, 'd': 36}",1348,0.24,0.0,False,128
"{'w': 22, 'a': 22, 's': 19, 'd': 28}",648,0.13,0.0,False,64
"{'w': 18, 'a': 20, 's': 10, 'd': 21}",356,0.1,0.0,False,32
"{'w': 31, 'a': 37, 's': 34, 'd': 29}",1132,0.2,0.0,False,128
"{'w': 33, 'a': 38, 's': 31, 'd': 33}",1256,0.19,0.0,False,128
"{'w': 26, 'a': 28, 's': 20, 'd': 28}",720,0.16,0.0,False,64
"{'w': 40, 'a': 29, 's': 30, 'd': 37}",1008,0.2,0.0,False,64
"{'w': 44, 'a': 43, 's': 29, 'd': 49}",1380,0.22,0.0,False,128
"{'w': 48, 'a': 49, 's': 39, 'd': 47}",1780,0.26,0.0,False,128
"{'w': 47, 'a': 42, 's': 32, 'd': 44}",1316,0.25,0.0,False,128
"{'w': 18, 'a': 21, 's': 17, 'd': 22}",496,0.12,0.0,False,64
"{'w': 33, 'a': 19, 's': 32, 'd': 20}",900,0.15,0.0,False,128
"{'w': 51, 'a': 38, 's': 38, 'd': 47}",1484,0.27,0.0,False,128
"{'w': 41, 'a': 31, 's': 31, 'd': 26}",928,0.17,0.0,False,64
"{'w': 29, 'a': 36, 's': 30, 'd': 35}",1084,0.19,0.0,False,128
"{'w': 33, 'a': 32, 's': 28, 'd': 28}",1024,0.19,0.0,False,128
"{'w': 35, 'a': 25, 's': 38, 'd': 30}",1072,0.19,0.0,False,128
"{'w': 46, 'a': 32, 's': 26, 'd': 33}",1172,0.19,0.0,False,128
"{'w': 33, 'a': 29, 's': 20, 'd': 23}",700,0.15,0.0,False,64
"{'w': 20, 'a': 23, 's': 10, 'd': 27}",536,0.13,0.0,False,64
"{'w': 39, 'a': 33, 's': 38, 'd': 40}",1332,0.23,0.0,False,128
"{'w': 83, 'a': 55, 's': 61, 'd': 56}",2800,0.53,0.0,False,256
"{'w': 33, 'a': 49, 's': 30, 'd': 36}",1248,0.27,0.0,False,128
"{'w': 18, 'a': 16, 's': 10, 'd': 14}",300,0.1,0.0,False,32
"{'w': 29, 'a': 24, 's': 34, 'd': 22}",832,0.25,0.0,False,64
"{'w': 34, 'a': 21, 's': 21, 'd': 25}",744,0.24,0.0,False,64
"{'w': 42, 'a': 30, 's': 37, 'd': 21}",936,0.22,0.0,False,64
"{'w': 26, 'a': 21, 's': 19, 'd': 25}",656,0.13,0.0,False,64
"{'w': 40, 'a': 38, 's': 31, 'd': 18}",912,0.3,0.0,False,64
"{'w': 24, 'a': 25, 's': 17, 'd': 10}",396,0.16,0.0,False,32
"{'w': 23, 'a': 23, 's': 16, 'd': 20}",544,0.16,0.0,False,64
"{'w': 44, 'a': 35, 's': 35, 'd': 32}",1276,0.29,0.0,False,128
"{'w': 12, 'a': 12, 's': 14, 'd': 12}",252,0.1,0.0,False,32
"{'w': 39, 'a': 22, 's': 26, 'd': 42}",1072,0.29,0.0,False,128
"{'w': 55, 'a': 45, 's': 45, 'd': 31}",1540,0.4,0.0,False,128
"{'w': 39, 'a': 41, 's': 25, 'd': 48}",1260,0.34,0.0,False,128
"{'w': 32, 'a': 28, 's': 25, 'd': 23}",764,0.25,0.0,False,64
"{'w': 28, 'a': 29, 's': 23, 'd': 33}",1004,0.29,0.0,False,128
"{'w': 39, 'a': 27, 's': 43, 'd': 32}",1268,0.33,0.0,False,128
"{'w': 33, 'a': 20, 's': 25, 'd': 23}",736,0.25,0.0,False,64
"{'w': 36, 'a': 31, 's': 28, 'd': 34}",1100,0.4,0.0,False,128
"{'w': 11, 'a': 18, 's': 15, 'd': 15}",404,0.16,0.0,False,64
"{'w': 35, 'a': 23, 's': 17, 'd': 28}",652,0.25,0.0,False,64
"{'w': 40, 'a': 40, 's': 42, 'd': 43}",1508,0.34,0.0,False,128
"{'w': 17, 'a': 23, 's': 20, 'd': 27}",628,0.21,0.0,False,64
"{'w': 31, 'a': 26, 's': 15, 'd': 25}",640,0.2,0.0,False,64
"{'w': 35, 'a': 39, 's': 37, 'd': 38}",1412,0.3,0.0,False,128
"{'w': 22, 'a': 20, 's': 27, 'd': 23}",600,0.17,0.0,False,64
"{'w': 33, 'a': 29, 's': 23, 'd': 37}",1056,0.26,0.0,False,128
"{'w': 55, 'a': 61, 's': 39, 'd': 47}",1704,0.35,0.0,False,128
"{'w': 42, 'a': 41, 's': 36, 'd': 36}",1468,0.28,0.0,False,128
"{'w': 50, 'a': 37, 's': 32, 'd': 50}",1452,0.32,0.0,False,128
"{'w': 31, 'a': 25, 's': 29, 'd': 27}",800,0.19,0.0,False,64
"{'w': 45, 'a': 43, 's': 28, 'd': 46}",1440,0.26,0.0,False,128
"{'w': 55, 'a': 41, 's': 44, 'd': 27}",1444,0.3,0.0,False,128
"{'w': 37, 'a': 57, 's': 30, 'd': 52}",1572,0.35,0.0,False,128
"{'w': 34, 'a': 21, 's': 27, 'd': 26}",672,0.18,0.0,False,64
"{'w': 14, 'a': 7, 's': 17, 'd': 16}",248,0.1,0.0,False,16
"{'w': 38, 'a': 45, 's': 35, 'd': 47}",1444,0.31,0.0,False,128
"{'w': 21, 'a': 15, 's': 13, 'd': 10}",296,0.11,0.0,False,32
"{'w': 20, 'a': 23, 's': 19, 'd': 21}",592,0.19,0.0,False,64
"{'w': 38, 'a': 29, 's': 31, 'd': 35}",1040,0.23,0.0,False,128
"{'w': 44, 'a': 31, 's': 37, 'd': 49}",1404,0.27,0.0,False,128
"{'w': 29, 'a': 23, 's': 17, 'd': 20}",576,0.18,0.0,False,64
"{'w': 67, 'a': 61, 's': 52, 'd': 48}",2556,0.43,0.0,False,256
"{'w': 47, 'a': 41, 's': 45, 'd': 32}",1412,0.29,0.0,False,128
"{'w': 21, 'a': 28, 's': 12, 'd': 23}",572,0.14,0.0,False,64
"{'w': 28, 'a': 18, 's': 28, 'd': 33}",812,0.2,0.0,False,64
"{'w': 22, 'a': 22, 's': 13, 'd': 18}",532,0.15,0.0,False,64
"{'w': 46, 'a': 39, 's': 38, 'd': 50}",1532,0.3,0.0,False,128
"{'w': 23, 'a': 24, 's': 25, 'd': 20}",588,0.14,0.0,False,64
"{'w': 17, 'a': 19, 's': 16, 'd': 15}",352,0.11,0.0,False,32
"{'w': 52, 'a': 52, 's': 32, 'd': 29}",1388,0.33,0.0,False,128
"{'w': 45, 'a': 38, 's': 29, 'd': 38}",1328,0.32,0.0,False,128
"{'w': 39, 'a': 33, 's': 44, 'd': 27}",1280,0.26,0.0,False,128
"{'w': 39, 'a': 25, 's': 20, 'd': 29}",1012,0.2,0.0,False,128
"{'w': 39, 'a': 37, 's': 19, 'd': 23}",860,0.23,0.0,False,64
"{'w': 37, 'a': 39, 's': 39, 'd': 48}",1384,0.35,0.0,False,128
"{'w': 52, 'a': 43, 's': 31, 'd': 29}",1328,0.34,0.0,False,128
"{'w': 36, 'a': 38, 's': 26, 'd': 33}",1156,0.23,0.0,False,128
"{'w': 65, 'a': 44, 's': 42, 'd': 64}",2364,0.42,0.0,False,256
"{'w': 41, 'a': 32, 's': 34, 'd': 36}",1324,0.25,0.0,False,128
"{'w': 33, 'a': 29, 's': 31, 'd': 46}",1148,0.26,0.0,False,128
"{'w': 37, 'a': 35, 's': 27, 'd': 39}",1252,0.25,0.0,False,128
"{'w': 48, 'a': 33, 's': 31, 'd': 38}",1288,0.29,0.0,False,128
"{'w': 28, 'a': 22, 's': 27, 'd': 28}",668,0.18,0.0,False,64
"{'w': 30, 'a': 44, 's': 29, 'd': 32}",1156,0.23,0.0,False,128
"{'w': 28, 'a': 24, 's': 20, 'd': 33}",740,0.23,0.0,False,64
"{'w': 40, 'a': 40, 's': 28, 'd': 33}",1292,0.35,0.0,False,128
"{'w': 50, 'a': 26, 's': 35, 'd': 51}",1444,0.31,0.0,False,128
"{'w': 40, 'a': 24, 's': 27, 'd': 29}",1036,0.22,0.0,False,128
"{'w': 43, 'a': 40, 's': 27, 'd': 41}",1328,0.26,0.0,False,128
"{'w': 15, 'a': 21, 's': 17, 'd': 24}",504,0.15,0.0,False,64
"{'w': 15, 'a': 20, 's': 15, 'd': 19}",380,0.12,0.0,False,32
"{'w': 55, 'a': 43, 's': 26, 'd': 47}",1456,0.38,0.0,False,128
"{'w': 24, 'a': 30, 's': 34, 'd': 34}",900,0.23,0.0,False,64
"{'w': 53, 'a': 53, 's': 47, 'd': 57}",2320,0.38,0.0,False,256
"{'w': 39, 'a': 11, 's': 31, 'd': 15}",640,0.21,0.0,False,64
"{'w': 35, 'a': 30, 's': 38, 'd': 40}",1244,0.28,0.0,False,128
"{'w': 44, 'a': 40, 's': 46, 'd': 48}",1756,0.39,0.0,False,128
"{'w': 90, 'a': 67, 's': 81, 'd': 75}",3632,0.61,0.0,False,256
"{'w': 13, 'a': 7, 's': 17, 'd': 16}",240,0.1,0.0,False,32
"{'w': 51, 'a': 49, 's': 36, 'd': 41}",1508,0.29,0.0,False,128
"{'w': 17, 'a': 12, 's': 12, 'd': 14}",296,0.12,0.0,False,32
"{'w': 31, 'a': 40, 's': 28, 'd': 40}",1096,0.24,0.0,False,128
"{'w': 30, 'a': 20, 's': 24, 'd': 14}",600,0.16,0.0,False,64
"{'w': 47, 'a': 30, 's': 45, 'd': 35}",1336,0.3,0.0,False,128
"{'w': 38, 'a': 29, 's': 32, 'd': 28}",1044,0.25,0.0,False,64
"{'w': 30, 'a': 27, 's': 23, 'd': 25}",676,0.2,0.0,False,64
"{'w': 33, 'a': 46, 's': 32, 'd': 40}",1320,0.32,0.0,False,128
"{'w': 32, 'a': 28, 's': 21, 'd': 32}",704,0.25,0.0,False,64
"{'w': 43, 'a': 50, 's': 29, 'd': 32}",1320,0.3,0.0,False,128
"{'w': 62, 'a': 49, 's': 40, 'd': 41}",1664,0.37,0.0,False,128
"{'w': 30, 'a': 38, 's': 19, 'd': 28}",952,0.21,0.0,False,128
"{'w': 41, 'a': 32, 's': 29, 'd': 45}",1308,0.29,0.0,False,128
"{'w': 19, 'a': 19, 's': 15, 'd': 21}",404,0.14,0.0,False,32
"{'w': 48, 'a': 36, 's': 34, 'd': 37}",1316,0.29,0.0,False,128
"{'w': 41, 'a': 43, 's': 32, 'd': 46}",1388,0.29,0.0,False,128
"{'w': 49, 'a': 21, 's': 35, 'd': 37}",1248,0.27,0.0,False,128
"{'w': 34, 'a': 31, 's': 33, 'd': 32}",1240,0.24,0.0,False,128
"{'w': 40, 'a': 15, 's': 16, 'd': 18}",584,0.18,0.0,False,64
"{'w': 32, 'a': 23, 's': 23, 'd': 19}",620,0.32,0.0,False,64
"{'w': 44, 'a': 29, 's': 25, 'd': 36}",1140,0.25,0.0,False,128
"{'w': 33, 'a': 39, 's': 31, 'd': 26}",1140,0.23,0.0,False,128
"{'w': 25, 'a': 21, 's': 12, 'd': 20}",436,0.17,0.0,False,32
"{'w': 40, 'a': 31, 's': 27, 'd': 32}",1160,0.32,0.0,False,128
"{'w': 43, 'a': 40, 's': 46, 'd': 35}",1384,0.28,0.0,False,128
"{'w': 36, 'a': 35, 's': 30, 'd': 30}",972,0.39,0.0,False,64
"{'w': 49, 'a': 58, 's': 31, 'd': 41}",1544,0.31,0.0,False,128
"{'w': 37, 'a': 32, 's': 20, 'd': 33}",1016,0.19,0.0,False,128
"{'w': 26, 'a': 15, 's': 27, 'd': 23}",636,0.15,0.0,False,64
"{'w': 40, 'a': 33, 's': 41, 'd': 36}",1384,0.26,0.0,False,128
"{'w': 44, 'a': 30, 's': 29, 'd': 33}",1112,0.25,0.0,False,128
"{'w': 24, 'a': 31, 's': 17, 'd': 18}",660,0.17,0.0,False,64
"{'w': 52, 'a': 48, 's': 43, 'd': 64}",2172,0.38,0.0,False,256
"{'w': 55, 'a': 37, 's': 49, 'd': 36}",1472,0.3,0.0,False,128
"{'w': 35, 'a': 32, 's': 21, 'd': 41}",968,0.26,0.0,False,64
"{'w': 43, 'a': 47, 's': 38, 'd': 34}",1380,0.3,0.0,False,128
"{'w': 21, 'a': 12, 's': 15, 'd': 10}",268,0.1,0.0,False,32
"{'w': 39, 'a': 47, 's': 40, 'd': 45}",1552,0.28,0.0,False,128
"{'w': 34, 'a': 42, 's': 31, 'd': 39}",1296,0.31,0.0,False,128
"{'w': 40, 'a': 33, 's': 43, 'd': 42}",1420,0.3,0.0,False,128
"{'w': 49, 'a': 42, 's': 38, 'd': 31}",1372,0.29,0.0,False,128
"{'w': 34, 'a': 29, 's': 25, 'd': 42}",908,0.23,0.0,False,64
"{'w': 38, 'a': 22, 's': 18, 'd': 19}",624,0.2,0.0,False,64
"{'w': 43, 'a': 27, 's': 38, 'd': 38}",1360,0.3,0.0,False,128
"{'w': 48, 'a': 50, 's': 35, 'd': 32}",1356,0.29,0.0,False,128
"{'w': 38, 'a': 24, 's': 40, 'd': 29}",1084,0.23,0.0,False,128
"{'w': 20, 'a': 15, 's': 18, 'd': 21}",472,0.15,0.0,False,64
"{'w': 32, 'a': 45, 's': 39, 'd': 33}",1316,0.29,0.0,False,128
"{'w': 42, 'a': 24, 's': 25, 'd': 22}",740,0.19,0.0,False,64
"{'w': 39, 'a': 25, 's': 26, 'd': 22}",988,0.22,0.0,False,128
"{'w': 27, 'a': 21, 's': 26, 'd': 22}",696,0.21,0.0,False,64
"{'w': 47, 'a': 34, 's': 29, 'd': 44}",1392,0.31,0.0,False,128
"{'w': 30, 'a': 21, 's': 24, 'd': 32}",708,0.22,0.0,False,64
"{'w': 37, 'a': 41, 's': 26, 'd': 27}",944,0.23,0.0,False,64
"{'w': 26, 'a': 15, 's': 23, 'd': 22}",636,0.14,0.0,False,64
"{'w': 79, 'a': 59, 's': 48, 'd': 69}",2764,0.47,0.0,False,256
"{'w': 56, 'a': 31, 's': 37, 'd': 38}",1416,0.28,0.0,False,128
"{'w': 53, 'a': 44, 's': 36, 'd': 38}",1384,0.29,0.0,False,128
"{'w': 71, 'a': 41, 's': 42, 'd': 50}",2044,0.42,0.0,False,128
"{'w': 26, 'a': 34, 's': 22, 'd': 35}",1084,0.23,0.0,False,128
"{'w': 63, 'a': 51, 's': 47, 'd': 42}",2140,0.37,0.0,False,256
"{'w': 38, 'a': 33, 's': 23, 'd': 22}",972,0.24,0.0,False,128
"{'w': 39, 'a': 27, 's': 24, 'd': 29}",912,0.22,0.0,False,64
"{'w': 24, 'a': 20, 's': 31, 'd': 23}",680,0.17,0.0,False,64
"{'w': 38, 'a': 33, 's': 25, 'd': 22}",820,0.2,0.0,False,64
"{'w': 39, 'a': 42, 's': 25, 'd': 34}",1020,0.24,0.0,False,64
"{'w': 38, 'a': 32, 's': 26, 'd': 32}",1044,0.24,0.0,False,128
"{'w': 23, 'a': 15, 's': 14, 'd': 24}",440,0.14,0.0,False,32
"{'w': 38, 'a': 28, 's': 34, 'd': 20}",992,0.2,0.0,False,128
"{'w': 35, 'a': 24, 's': 19, 'd': 26}",656,0.18,0.0,False,64
"{'w': 70, 'a': 41, 's': 37, 'd': 40}",1772,0.33,0.0,False,128
"{'w': 26, 'a': 16, 's': 25, 'd': 17}",552,0.16,0.0,False,64
"{'w': 40, 'a': 39, 's': 52, 'd': 36}",1336,0.29,0.0,False,128
"{'w': 48, 'a': 40, 's': 50, 'd': 53}",1840,0.33,0.0,False,128
"{'w': 35, 'a': 37, 's': 26, 'd': 43}",1240,0.24,0.0,False,128
"{'w': 43, 'a': 44, 's': 31, 'd': 41}",1364,0.31,0.0,False,128
"{'w': 42, 'a': 30, 's': 27, 'd': 36}",1240,0.23,0.0,False,128
"{'w': 42, 'a': 30, 's': 27, 'd': 38}",1164,0.25,0.0,False,128
"{'w': 24, 'a': 16, 's': 20, 'd': 19}",552,0.15,0.0,False,64
"{'w': 19, 'a': 21, 's': 16, 'd': 32}",612,0.18,0.0,False,64
"{'w': 28, 'a': 27, 's': 26, 'd': 23}",768,0.2,0.0,False,64
"{'w': 29, 'a': 25, 's': 14, 'd': 27}",664,0.2,0.0,False,64
"{'w': 44, 'a': 35, 's': 35, 'd': 34}",1284,0.29,0.0,False,128
"{'w': 29, 'a': 40, 's': 33, 'd': 51}",1212,0.33,0.0,False,128
"{'w': 22, 'a': 28, 's': 20, 'd': 28}",684,0.19,0.0,False,64
"{'w': 32, 'a': 26, 's': 22, 'd': 31}",876,0.19,0.0,False,64
"{'w': 72, 'a': 44, 's': 44, 'd': 45}",2208,0.41,0.0,False,256
"{'w': 50, 'a': 30, 's': 20, 'd': 25}",892,0.29,0.0,False,64
"{'w': 26, 'a': 15, 's': 15, 'd': 19}",488,0.2,0.0,False,64
"{'w': 23, 'a': 49, 's': 27, 'd': 29}",1052,0.22,0.0,False,128
"{'w': 75, 'a': 45, 's': 44, 'd': 48}",2284,0.39,0.0,False,256
