Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 13, 'a': 15, 's': 27, 'd': 41}",552,3.1,0.04,False,32
"{'w': 11, 'a': 15, 's': 25, 'd': 25}",436,0.17,0.0,False,32
"{'w': 12, 'a': 12, 's': 15, 'd': 22}",328,0.11,0.0,False,32
"{'w': 22, 'a': 32, 's': 49, 'd': 75}",1616,0.45,0.0,False,128
"{'w': 19, 'a': 20, 's': 35, 'd': 41}",832,0.35,0.0,False,64
"{'w': 23, 'a': 33, 's': 29, 'd': 62}",1324,0.26,0.0,False,128
"{'w': 17, 'a': 19, 's': 49, 'd': 45}",940,0.28,0.0,False,64
"{'w': 17, 'a': 14, 's': 21, 'd': 30}",544,0.24,0.0,False,64
"{'w': 26, 'a': 23, 's': 35, 'd': 46}",1108,0.35,0.0,False,128
"{'w': 18, 'a': 11, 's': 22, 'd': 19}",460,0.17,0.0,False,64
"{'w': 29, 'a': 13, 's': 36, 'd': 36}",1024,0.25,0.0,False,128
"{'w': 12, 'a': 14, 's': 9, 'd': 32}",336,0.2,0.0,False,32
"{'w': 20, 'a': 8, 's': 27, 'd': 34}",640,0.25,0.0,False,64
"{'w': 16, 'a': 14, 's': 19, 'd': 26}",524,0.16,0.0,False,64
"{'w': 19, 'a': 20, 's': 21, 'd': 40}",708,0.18,0.0,False,64
"{'w': 15, 'a': 21, 's': 34, 'd': 38}",752,0.21,0.0,False,64
"{'w': 20, 'a': 15, 's': 26, 'd': 27}",608,0.17,0.0,False,64
"{'w': 19, 'a': 10, 's': 23, 'd': 20}",488,0.13,0.0,False,64
"{'w': 18, 'a': 15, 's': 25, 'd': 28}",616,0.15,0.0,False,64
"{'w': 18, 'a': 14, 's': 29, 'd': 25}",592,0.15,0.0,False,64
"{'w': 16, 'a': 10, 's': 21, 'd': 29}",528,0.13,0.0,False,64
"{'w': 20, 'a': 14, 's': 25, 'd': 31}",556,0.15,0.0,False,32
"{'w': 23, 'a': 30, 's': 40, 'd': 67}",1384,0.31,0.0,False,128
"{'w': 13, 'a': 26, 's': 22, 'd': 44}",748,0.17,0.0,False,64
"{'w': 16, 'a': 20, 's': 22, 'd': 52}",656,0.18,0.0,False,32
"{'w': 24, 'a': 29, 's': 35, 'd': 55}",1300,0.24,0.0,False,128
"{'w': 17, 'a': 16, 's': 27, 'd': 34}",652,0.16,0.0,False,64
"{'w': 15, 'a': 14, 's': 17, 'd': 18}",388,0.12,0.0,False,32
"{'w': 17, 'a': 15, 's': 32, 'd': 41}",764,0.19,0.0,False,64
"{'w': 35, 'a': 25, 's': 58, 'd': 76}",1708,0.36,0.0,False,128
"{'w': 24, 'a': 26, 's': 28, 'd': 41}",1056,0.2,0.0,False,128
"{'w': 20, 'a': 23, 's': 29, 'd': 46}",1040,0.21,0.0,False,128
"{'w': 25, 'a': 10, 's': 32, 'd': 23}",636,0.16,0.0,False,64
