Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 21, 'a': 22, 's': 40, 'd': 44}",1160,0.92,0.01,False,128
"{'w': 16, 'a': 21, 's': 26, 'd': 45}",944,0.19,0.0,False,128
"{'w': 33, 'a': 25, 's': 34, 'd': 45}",1280,0.23,0.0,False,128
"{'w': 23, 'a': 31, 's': 40, 'd': 61}",1504,0.27,0.0,False,128
"{'w': 21, 'a': 19, 's': 50, 'd': 65}",1232,0.25,0.0,False,64
"{'w': 26, 'a': 15, 's': 25, 'd': 27}",628,0.18,0.0,False,64
"{'w': 20, 'a': 13, 's': 27, 'd': 31}",612,0.15,0.0,False,64
"{'w': 24, 'a': 9, 's': 24, 'd': 18}",500,0.14,0.0,False,64
"{'w': 14, 'a': 19, 's': 17, 'd': 29}",528,0.13,0.0,False,64
"{'w': 27, 'a': 31, 's': 34, 'd': 57}",1380,0.25,0.0,False,128
"{'w': 12, 'a': 8, 's': 18, 'd': 15}",264,0.09,0.0,False,32
"{'w': 18, 'a': 31, 's': 31, 'd': 60}",1184,0.29,0.0,False,128
"{'w': 24, 'a': 33, 's': 34, 'd': 58}",1348,0.24,0.0,False,128
"{'w': 29, 'a': 29, 's': 39, 'd': 66}",1452,0.28,0.0,False,128
"{'w': 21, 'a': 22, 's': 26, 'd': 36}",736,0.18,0.0,False,64
"{'w': 14, 'a': 6, 's': 18, 'd': 14}",268,0.09,0.0,False,32
"{'w': 30, 'a': 40, 's': 45, 'd': 54}",1620,0.34,0.0,False,128
"{'w': 16, 'a': 12, 's': 18, 'd': 18}",436,0.12,0.0,False,64
"{'w': 11, 'a': 10, 's': 15, 'd': 13}",256,0.08,0.0,False,32
"{'w': 22, 'a': 13, 's': 27, 'd': 24}",604,0.13,0.0,False,64
"{'w': 16, 'a': 22, 's': 21, 'd': 35}",680,0.15,0.0,False,64
"{'w': 13, 'a': 13, 's': 14, 'd': 24}",384,0.12,0.0,False,32
"{'w': 21, 'a': 8, 's': 34, 'd': 17}",600,0.13,0.0,False,64
"{'w': 37, 'a': 17, 's': 36, 'd': 49}",1152,0.24,0.0,False,128
"{'w': 16, 'a': 17, 's': 19, 'd': 32}",568,0.14,0.0,False,64
"{'w': 25, 'a': 18, 's': 32, 'd': 44}",924,0.2,0.0,False,64
"{'w': 24, 'a': 22, 's': 50, 'd': 40}",1204,0.26,0.0,False,128
"{'w': 10, 'a': 14, 's': 17, 'd': 29}",420,0.11,0.0,False,32
"{'w': 17, 'a': 8, 's': 25, 'd': 17}",472,0.12,0.0,False,64
"{'w': 9, 'a': 10, 's': 11, 'd': 16}",196,0.08,0.0,False,16
"{'w': 14, 'a': 18, 's': 18, 'd': 44}",636,0.16,0.0,False,64
"{'w': 13, 'a': 15, 's': 16, 'd': 26}",400,0.11,0.0,False,32
"{'w': 15, 'a': 22, 's': 19, 'd': 32}",648,0.15,0.0,False,64
"{'w': 9, 'a': 10, 's': 10, 'd': 15}",176,0.07,0.0,False,16
"{'w': 11, 'a': 20, 's': 13, 'd': 38}",504,0.18,0.0,False,32
"{'w': 16, 'a': 41, 's': 31, 'd': 72}",1476,0.36,0.0,False,128
"{'w': 17, 'a': 18, 's': 19, 'd': 38}",620,0.15,0.0,False,64
"{'w': 22, 'a': 16, 's': 28, 'd': 44}",844,0.18,0.0,False,64
"{'w': 10, 'a': 10, 's': 16, 'd': 19}",268,0.1,0.0,False,32
"{'w': 18, 'a': 17, 's': 17, 'd': 27}",556,0.13,0.0,False,64
"{'w': 18, 'a': 17, 's': 21, 'd': 31}",636,0.14,0.0,False,64
"{'w': 16, 'a': 12, 's': 21, 'd': 32}",508,0.13,0.0,False,64
"{'w': 25, 'a': 31, 's': 43, 'd': 52}",1260,0.3,0.0,False,64
"{'w': 26, 'a': 15, 's': 29, 'd': 33}",736,0.17,0.0,False,64
"{'w': 13, 'a': 19, 's': 26, 'd': 27}",608,0.13,0.0,False,64
"{'w': 20, 'a': 28, 's': 25, 'd': 54}",1096,0.22,0.0,False,128
"{'w': 20, 'a': 30, 's': 38, 'd': 45}",1240,0.22,0.0,False,128
"{'w': 8, 'a': 22, 's': 23, 'd': 36}",620,0.16,0.0,False,64
"{'w': 13, 'a': 20, 's': 21, 'd': 34}",624,0.15,0.0,False,64
"{'w': 15, 'a': 12, 's': 19, 'd': 26}",424,0.15,0.0,False,32
"{'w': 10, 'a': 5, 's': 20, 'd': 13}",228,0.09,0.0,False,32
"{'w': 11, 'a': 12, 's': 18, 'd': 14}",252,0.09,0.0,False,32
"{'w': 22, 'a': 14, 's': 41, 'd': 41}",884,0.22,0.0,False,64
"{'w': 16, 'a': 14, 's': 24, 'd': 16}",396,0.15,0.0,False,32
"{'w': 14, 'a': 8, 's': 18, 'd': 15}",284,0.13,0.0,False,32
"{'w': 21, 'a': 35, 's': 28, 'd': 51}",1172,0.22,0.0,False,128
"{'w': 17, 'a': 22, 's': 21, 'd': 39}",652,0.16,0.0,False,64
"{'w': 14, 'a': 10, 's': 16, 'd': 14}",280,0.08,0.0,False,32
"{'w': 20, 'a': 22, 's': 29, 'd': 41}",996,0.18,0.0,False,128
"{'w': 27, 'a': 34, 's': 35, 'd': 61}",1372,0.26,0.0,False,128
"{'w': 15, 'a': 15, 's': 17, 'd': 27}",496,0.11,0.0,False,64
"{'w': 24, 'a': 24, 's': 27, 'd': 51}",956,0.2,0.0,False,64
"{'w': 20, 'a': 15, 's': 30, 'd': 26}",660,0.14,0.0,False,64
"{'w': 17, 'a': 16, 's': 33, 'd': 35}",644,0.16,0.0,False,64
"{'w': 23, 'a': 16, 's': 36, 'd': 36}",840,0.17,0.0,False,64
"{'w': 22, 'a': 28, 's': 29, 'd': 66}",1420,0.26,0.0,False,128
"{'w': 35, 'a': 35, 's': 66, 'd': 81}",2308,0.35,0.0,False,256
"{'w': 27, 'a': 27, 's': 33, 'd': 54}",1200,0.23,0.0,False,128
"{'w': 22, 'a': 9, 's': 21, 'd': 19}",456,0.11,0.0,False,32
"{'w': 22, 'a': 18, 's': 40, 'd': 40}",1092,0.21,0.0,False,128
"{'w': 13, 'a': 14, 's': 22, 'd': 20}",404,0.12,0.0,False,32
"{'w': 11, 'a': 21, 's': 19, 'd': 25}",548,0.12,0.0,False,64
"{'w': 12, 'a': 14, 's': 21, 'd': 27}",420,0.14,0.0,False,32
"{'w': 34, 'a': 17, 's': 36, 'd': 46}",1212,0.21,0.0,False,128
"{'w': 22, 'a': 22, 's': 29, 'd': 44}",1016,0.18,0.0,False,128
"{'w': 13, 'a': 21, 's': 30, 'd': 33}",724,0.15,0.0,False,64
"{'w': 26, 'a': 31, 's': 39, 'd': 64}",1412,0.29,0.0,False,128
"{'w': 23, 'a': 32, 's': 33, 'd': 52}",1300,0.24,0.0,False,128
"{'w': 18, 'a': 15, 's': 29, 'd': 37}",720,0.15,0.0,False,64
"{'w': 19, 'a': 36, 's': 26, 'd': 66}",1352,0.24,0.0,False,128
"{'w': 17, 'a': 13, 's': 18, 'd': 24}",484,0.13,0.0,False,64
"{'w': 24, 'a': 20, 's': 36, 'd': 47}",1020,0.21,0.0,False,64
"{'w': 17, 'a': 18, 's': 22, 'd': 28}",592,0.13,0.0,False,64
"{'w': 28, 'a': 15, 's': 21, 'd': 39}",704,0.16,0.0,False,64
"{'w': 23, 'a': 30, 's': 32, 'd': 38}",1112,0.19,0.0,False,128
"{'w': 23, 'a': 17, 's': 22, 'd': 37}",704,0.16,0.0,False,64
"{'w': 39, 'a': 43, 's': 35, 'd': 120}",2312,0.41,0.0,False,128
"{'w': 13, 'a': 19, 's': 22, 'd': 34}",644,0.14,0.0,False,64
"{'w': 25, 'a': 24, 's': 30, 'd': 42}",1048,0.2,0.0,False,128
"{'w': 26, 'a': 17, 's': 40, 'd': 54}",1228,0.21,0.0,False,128
"{'w': 32, 'a': 32, 's': 28, 'd': 75}",1416,0.32,0.0,False,128
"{'w': 12, 'a': 18, 's': 25, 'd': 37}",644,0.15,0.0,False,64
"{'w': 33, 'a': 25, 's': 47, 'd': 56}",1504,0.25,0.0,False,128
"{'w': 14, 'a': 18, 's': 19, 'd': 37}",608,0.14,0.0,False,64
"{'w': 13, 'a': 9, 's': 17, 'd': 17}",288,0.09,0.0,False,32
"{'w': 24, 'a': 35, 's': 40, 'd': 61}",1468,0.26,0.0,False,128
"{'w': 13, 'a': 19, 's': 13, 'd': 30}",516,0.14,0.0,False,64
"{'w': 16, 'a': 20, 's': 24, 'd': 37}",716,0.18,0.0,False,64
"{'w': 23, 'a': 31, 's': 41, 'd': 64}",1416,0.27,0.0,False,128
"{'w': 23, 'a': 29, 's': 33, 'd': 55}",1288,0.23,0.0,False,128
