Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 23, 'a': 16, 's': 24, 'd': 24}",596,3.23,0.04,False,64
"{'w': 32, 'a': 27, 's': 34, 'd': 55}",1344,0.43,0.0,False,128
"{'w': 17, 'a': 17, 's': 27, 'd': 31}",608,0.3,0.0,False,64
"{'w': 16, 'a': 16, 's': 22, 'd': 27}",576,0.24,0.0,False,64
"{'w': 19, 'a': 25, 's': 29, 'd': 52}",984,0.37,0.0,False,64
"{'w': 20, 'a': 20, 's': 32, 'd': 41}",820,0.33,0.0,False,64
"{'w': 25, 'a': 24, 's': 32, 'd': 66}",1256,0.43,0.0,False,128
"{'w': 20, 'a': 14, 's': 21, 'd': 46}",684,0.33,0.0,False,64
"{'w': 22, 'a': 22, 's': 26, 'd': 37}",948,0.31,0.0,False,128
"{'w': 21, 'a': 18, 's': 20, 'd': 33}",616,0.27,0.0,False,64
"{'w': 12, 'a': 17, 's': 18, 'd': 30}",444,0.21,0.0,False,32
"{'w': 16, 'a': 21, 's': 30, 'd': 43}",760,0.38,0.0,False,64
"{'w': 18, 'a': 11, 's': 28, 'd': 21}",536,0.26,0.0,False,64
"{'w': 9, 'a': 14, 's': 14, 'd': 22}",352,0.19,0.0,False,32
"{'w': 14, 'a': 19, 's': 17, 'd': 39}",600,0.28,0.0,False,64
"{'w': 22, 'a': 25, 's': 24, 'd': 49}",1088,0.37,0.0,False,128
"{'w': 15, 'a': 16, 's': 19, 'd': 20}",408,0.25,0.0,False,32
"{'w': 21, 'a': 24, 's': 26, 'd': 53}",964,0.42,0.0,False,64
"{'w': 26, 'a': 22, 's': 35, 'd': 51}",1120,0.4,0.0,False,128
"{'w': 18, 'a': 23, 's': 27, 'd': 36}",736,0.28,0.0,False,64
"{'w': 22, 'a': 19, 's': 27, 'd': 31}",772,0.29,0.0,False,64
"{'w': 18, 'a': 16, 's': 19, 'd': 51}",728,0.29,0.0,False,64
"{'w': 12, 'a': 19, 's': 19, 'd': 31}",564,0.22,0.0,False,64
"{'w': 18, 'a': 16, 's': 24, 'd': 27}",592,0.26,0.0,False,64
"{'w': 14, 'a': 16, 's': 16, 'd': 19}",352,0.18,0.0,False,32
"{'w': 17, 'a': 18, 's': 22, 'd': 34}",632,0.27,0.0,False,64
"{'w': 16, 'a': 16, 's': 28, 'd': 24}",568,0.22,0.0,False,64
"{'w': 21, 'a': 32, 's': 30, 'd': 51}",1208,0.4,0.0,False,128
"{'w': 12, 'a': 21, 's': 16, 'd': 40}",664,0.24,0.0,False,64
"{'w': 13, 'a': 21, 's': 22, 'd': 42}",700,0.28,0.0,False,64
"{'w': 25, 'a': 35, 's': 35, 'd': 56}",1376,0.43,0.0,False,128
"{'w': 18, 'a': 15, 's': 22, 'd': 37}",620,0.28,0.0,False,64
