Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 23, 'a': 0, 's': 55, 'd': 11}",480,0.24,0.0,False,32
"{'w': 52, 'a': 1, 's': 120, 'd': 17}",1556,0.46,0.0,False,128
"{'w': 45, 'a': 0, 's': 99, 'd': 16}",1296,0.42,0.0,False,128
"{'w': 36, 'a': 0, 's': 95, 'd': 19}",924,0.38,0.0,False,64
"{'w': 12, 'a': 0, 's': 35, 'd': 4}",180,0.14,0.0,False,16
"{'w': 35, 'a': 1, 's': 81, 'd': 9}",796,0.32,0.0,False,64
"{'w': 16, 'a': 0, 's': 40, 'd': 7}",288,0.16,0.0,False,32
"{'w': 18, 'a': 0, 's': 33, 'd': 4}",232,0.15,0.0,False,16
"{'w': 46, 'a': 0, 's': 89, 'd': 18}",1136,0.41,0.0,False,128
"{'w': 37, 'a': 2, 's': 103, 'd': 18}",1256,0.37,0.0,False,128
"{'w': 19, 'a': 0, 's': 49, 'd': 5}",400,0.17,0.0,False,32
"{'w': 32, 'a': 0, 's': 65, 'd': 9}",704,0.26,0.0,False,64
"{'w': 25, 'a': 0, 's': 61, 'd': 8}",492,0.26,0.0,False,32
"{'w': 48, 'a': 1, 's': 120, 'd': 22}",1464,0.48,0.0,False,128
"{'w': 30, 'a': 0, 's': 75, 'd': 12}",792,0.3,0.0,False,64
"{'w': 13, 'a': 0, 's': 51, 'd': 4}",356,0.17,0.0,False,32
"{'w': 21, 'a': 0, 's': 44, 'd': 6}",380,0.18,0.0,False,32
"{'w': 32, 'a': 1, 's': 97, 'd': 16}",1260,0.37,0.0,False,128
"{'w': 15, 'a': 0, 's': 25, 'd': 4}",136,0.11,0.0,False,16
"{'w': 48, 'a': 2, 's': 107, 'd': 22}",1304,0.47,0.0,False,128
"{'w': 18, 'a': 0, 's': 42, 'd': 5}",308,0.17,0.0,False,32
"{'w': 22, 'a': 0, 's': 62, 'd': 5}",540,0.21,0.0,False,32
"{'w': 19, 'a': 1, 's': 54, 'd': 6}",468,0.19,0.0,False,64
"{'w': 23, 'a': 0, 's': 69, 'd': 6}",656,0.24,0.0,False,64
"{'w': 23, 'a': 0, 's': 45, 'd': 5}",384,0.18,0.0,False,32
"{'w': 21, 'a': 0, 's': 70, 'd': 7}",572,0.26,0.0,False,64
"{'w': 29, 'a': 0, 's': 68, 'd': 8}",820,0.28,0.0,False,64
